video_id,subs_contrib,channel_id
'-unndGuNM-U,67.0823528992037,
6PU-75XozHU,41.76457760265557,
R9RZX3lm198,257.1428571428571,
WW2Lm0bkVJ0,662.5816409267121,
AN1-HonwJeY,421.2166934672787,UCHKDlM4UOmtEBhwDTg8lqJQ
T0mACAgRUGk,0.0,UCHKDlM4UOmtEBhwDTg8lqJQ
TrcgGvg3LJI,99.71564957880562,UCHKDlM4UOmtEBhwDTg8lqJQ
bSaJqgUiqfw,69.7390382788012,UCHKDlM4UOmtEBhwDTg8lqJQ
drGDK1ayH7s,41.038509424565234,UCHKDlM4UOmtEBhwDTg8lqJQ
knKkhQwuFSs,207.3898251803328,UCHKDlM4UOmtEBhwDTg8lqJQ
wnlLVFmStqw,0.0,UCHKDlM4UOmtEBhwDTg8lqJQ
3A9thDhwZbA,38.28694379285986,UCW945UjEs6Jm3rVNvPEALdg
V9o-ez9EvPI,20.06535615821948,UCW945UjEs6Jm3rVNvPEALdg
ZLTV48h4aOw,0.0,UCW945UjEs6Jm3rVNvPEALdg
jVjGsnxqLTY,98.55537522570178,UCW945UjEs6Jm3rVNvPEALdg
pDxZyDMWXHE,99.42472199730334,UCW945UjEs6Jm3rVNvPEALdg
r3Z04UOc_-I,43.58232629445103,UCW945UjEs6Jm3rVNvPEALdg
sFEZG9bYRtA,14.747670005133402,UCW945UjEs6Jm3rVNvPEALdg
EwanA-_IxRY,0.0,UChaTUCM7bPBTJaIZQ83PNwQ
UqdRT9VPiQs,257.8334825425246,UChaTUCM7bPBTJaIZQ83PNwQ
ZpGSQKNyvHk,0.0,UChaTUCM7bPBTJaIZQ83PNwQ
nJsx7c3z7OI,0.0,UChaTUCM7bPBTJaIZQ83PNwQ
'-F2OFuJBx9I,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
'-JdM4uJ9Rjk,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
'-NAckTPcDks,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
'-RMw3rjYCqI,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
'-URWcfz5QQQ,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
'-VGFD5glMYQ,1.01530899278776,UCsU-I-vHLiaMfV_ceaYz5rQ
'-itPpdu2Aiw,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
07WhyfSoj3Q,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
0uEJhCKHdXM,27.08531989990733,UCsU-I-vHLiaMfV_ceaYz5rQ
0zANaIAIW-A,16.36400405025415,UCsU-I-vHLiaMfV_ceaYz5rQ
1E2kczq3Sqc,2.63910915287704,UCsU-I-vHLiaMfV_ceaYz5rQ
1GoEvrH7Jyw,2.433964669206077,UCsU-I-vHLiaMfV_ceaYz5rQ
1UZuioQkK0c,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
1_AvM6a5D6A,13.542659949953665,UCsU-I-vHLiaMfV_ceaYz5rQ
1b8RPsFznn4,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
1ff60KR8Dy4,3.3059155033540613,UCsU-I-vHLiaMfV_ceaYz5rQ
1fnDSC09Rj4,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
1h4e-5jIoIw,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
1i8wtS4oMmM,1.9743854875134288,UCsU-I-vHLiaMfV_ceaYz5rQ
1szxPdWZZ5E,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
1wGRq_aNJms,1.5030044235114537,UCsU-I-vHLiaMfV_ceaYz5rQ
24NyrnnyV30,2.465552060092808,UCsU-I-vHLiaMfV_ceaYz5rQ
27NE3gCmaEE,7.809374946919327,UCsU-I-vHLiaMfV_ceaYz5rQ
2Ue0TCG0Cu8,8.103727776281385,UCsU-I-vHLiaMfV_ceaYz5rQ
2VzgFr7l3Ug,103.44696958311395,UCsU-I-vHLiaMfV_ceaYz5rQ
2adiVr8xATg,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
3_TPElyYNHo,32.77278583044663,UCsU-I-vHLiaMfV_ceaYz5rQ
3_WKzKz-uNY,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
3etS_Qr5E8o,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
3fr05_ZNrIA,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
3nuYcQch_nQ,1.1822709160461922,UCsU-I-vHLiaMfV_ceaYz5rQ
3vBCLUIT05k,0.4394465589296768,UCsU-I-vHLiaMfV_ceaYz5rQ
45SblsLmkss,72.56248492215977,UCsU-I-vHLiaMfV_ceaYz5rQ
46_6JQ5g7-Q,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4DM7my47VFU,8.824683939707088,UCsU-I-vHLiaMfV_ceaYz5rQ
4EQSEPXl3Xs,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4FzWNqvJM4U,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4GYlOfsWmZY,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4HEIvT9p23k,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4MTahl-D5qo,0.1683503800007055,UCsU-I-vHLiaMfV_ceaYz5rQ
4TXD-aDUKDg,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4ZPFefO9ccs,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4gC0dvTcVpg,0.37766023389849,UCsU-I-vHLiaMfV_ceaYz5rQ
4jIeujcGZJc,3.913018213913306,UCsU-I-vHLiaMfV_ceaYz5rQ
4jKm3g1KQX0,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
4tVX-YWHuNk,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
5-t7k5Yasks,12.58254211267129,UCsU-I-vHLiaMfV_ceaYz5rQ
50xiJcJJTHs,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
5XRlWyKNano,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
5XWxpGRedDM,2.078866857369537,UCsU-I-vHLiaMfV_ceaYz5rQ
5d8VnZYPB-k,0.947968840787478,UCsU-I-vHLiaMfV_ceaYz5rQ
5nU4-pMAK_o,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
5wd24xsBF1s,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
5xherpeSYz0,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
67OzGkfHkSk,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
6U4kKOk3kKY,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
6q2-KB563Ng,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
730eE0fLQX4,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
7EOGx-o5Jgc,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
7NFwgx2k_-s,2.95567729011548,UCsU-I-vHLiaMfV_ceaYz5rQ
7U7w1KSTke0,2.571769000876758,UCsU-I-vHLiaMfV_ceaYz5rQ
7Xu--Hc9ag0,0.188135888578108,UCsU-I-vHLiaMfV_ceaYz5rQ
7gSwzBMt8oU,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
7mq3Yj_7b9Y,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
7t4Q_GgIO6g,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8-U5VPh610k,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
85upYANAy50,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8NSQqBf0yd0,11.373890518521897,UCsU-I-vHLiaMfV_ceaYz5rQ
8SKI3aYttG0,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8XZ3vIoO0FM,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8Y6T-JSOhL8,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8j2qKfhHtQQ,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8pWIoh1f9VY,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8w4m2lYM1kk,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
8y_Vl_RHnoc,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
9C4aP0U1jIA,3.536399322571522,UCsU-I-vHLiaMfV_ceaYz5rQ
9DKRnQ8cwZ4,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
9utS8Te7XCM,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
A1QAlrTiyZo,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
A82mPe-IzB8,2.3152516177416618,UCsU-I-vHLiaMfV_ceaYz5rQ
AAZdAwcmVQA,4.2399997767188005,UCsU-I-vHLiaMfV_ceaYz5rQ
AAb8JjXY5Fo,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
AHN_Rs45trs,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
AK7ZY5MSKCg,4.270198710863257,UCsU-I-vHLiaMfV_ceaYz5rQ
AKQ7Us5e9NE,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
AaksFF-4JZ4,0.0,UCsU-I-vHLiaMfV_ceaYz5rQ
